ID	logFC	CI.L	CI.R	AveExpr	t	P.Value	adj.P.Val	B	meanCounts
mmu.miR.191.3p_MIMAT0004542_Mus_musculus_miR.191.3p	-0.137852221462079	-0.702374381459849	0.426669938535691	3.78279867444587	-0.508775826674852	0.616374422824877	0.806890153516203	-6.5264832144343	25.3529120291112
mmu.miR.191.5p_MIMAT0000221_Mus_musculus_miR.191.5p	-0.615941973559531	-1.26212902469259	0.0302450775735232	12.7156875663168	-1.98598170472288	0.0606546564876712	0.228133931864077	-5.22185267074454	13072.1401753631
mmu.miR.192.5p_MIMAT0000517_Mus_musculus_miR.192.5p	-0.0749952678679042	-0.567199735787759	0.41720920005195	7.3725872861592	-0.317454876795958	0.754128650398995	0.883908929769985	-6.8795756023755	309.944477146151
mmu.miR.1934.5p_MIMAT0009398_Mus_musculus_miR.1934.5p	0.393594115238682	-1.10367180173188	1.89086003220924	1.3408856030438	0.547700770659013	0.589847435983094	0.792428013662979	-5.92477503832471	5.25235556177243
mmu.miR.193a.3p_MIMAT0000223_Mus_musculus_miR.193a.3p	-0.541171144286027	-2.56889967923582	1.48655739066377	0.792462693074121	-0.556055976546371	0.584227892993434	0.791534564700782	-5.84433257255188	3.84022310758866
mmu.miR.193a.5p_MIMAT0004544_Mus_musculus_miR.193a.5p	-0.682137527138873	-1.30076216864407	-0.0635128856336772	4.06720198925181	-2.29740954697477	0.0323097675673883	0.145393954053247	-4.24693454658359	31.6943689511236
mmu.miR.193b.3p_MIMAT0004859_Mus_musculus_miR.193b.3p	-0.374649903241703	-1.21670408938481	0.467404282901405	4.93349844163412	-0.926999029930143	0.364778099730923	0.625858186344681	-6.36789953284364	61.7715051249913
mmu.miR.193b.5p_MIMAT0017271_Mus_musculus_miR.193b.5p	0.136469943674511	-0.892394634329776	1.1653345216788	2.02625415913266	0.27635828629141	0.785056678473405	0.895177751019448	-6.28906249211833	7.94985616057303
mmu.miR.194.2.3p_MIMAT0017073_Mus_musculus_miR.194.2.3p	0.099947787381907	-1.59639348853055	1.79628906329436	0.528814699558949	0.12275908671857	0.903500652075728	0.960395209126044	-5.96784109776114	2.80248971980268
mmu.miR.194.5p_MIMAT0000224_Mus_musculus_miR.194.5p	-0.348110329152775	-0.951175973374627	0.254955315069076	7.35320919165041	-1.202668720946	0.242894386533542	0.514364583247502	-6.20457467667724	308.790908425697
mmu.miR.1943.5p_MIMAT0009408_Mus_musculus_miR.1943.5p	-0.0189117862242649	-1.27937094212515	1.24154736967662	2.10363058271152	-0.0312606113348476	0.97536589087764	0.992864609294891	-6.34370406285185	8.42691559717044
mmu.miR.1945_MIMAT0009410_Mus_musculus_miR.1945	-1.17776535019393	-2.49052102541796	0.1349903250301	0.630704402428103	-1.86925505120309	0.0760296506054762	0.270925780830172	-4.3828532047156	2.79973052181087
mmu.miR.1947.5p_MIMAT0009413_Mus_musculus_miR.1947.5p	-0.555257893944409	-1.53118283356941	0.420667045680595	2.8872826103977	-1.18541936926562	0.249493088295149	0.520757046480146	-5.76129396313223	14.6308361645664
mmu.miR.1949_MIMAT0009416_Mus_musculus_miR.1949	-0.15141381260944	-1.67899090863472	1.37616328341584	0.992973526088986	-0.206517115845526	0.83843669185256	0.930089548609577	-6.0075024840468	4.14850049915882
mmu.miR.1955.5p_MIMAT0009426_Mus_musculus_miR.1955.5p	-0.0712470631285644	-1.49822622470764	1.35573209845051	1.48986824581703	-0.104026270838249	0.918165647632846	0.96810771214844	-6.15821699158541	5.73787251939864
